"UTMX","UTMY","Segment","Sdepth","volume_m","DO","Wtemp","uniqueID","Sdepthm","name","habitat","paramofinterest","heatcol","habitatword"
368000,4280000,"CB4MH",0,1000000,8.43,73.91,"368000 4280000",0,"Randle Cliffs",3,3,"#1E90FF","Suitable"
368000,4289000,"CB4MH",4.92126,1000000,7.86,73.81,"368000 4289000",1.5,"Holland Pt Bar",3,3,"#1E90FF","Suitable"
369000,4278000,"CB4MH",9.84252,1000000,6.5,74.1,"369000 4278000",3,"Randle Cliffs",3,3,"#1E90FF","Suitable"
369000,4289000,"CB4MH",1.64042,1000000,7.7,73.42,"369000 4289000",0.5,"Holland Pt Bar",3,3,"#1E90FF","Suitable"
372000,4271000,"CB4MH",6.56168,1000000,7.94,73.99,"372000 4271000",2,"Winter Gooses",3,3,"#1E90FF","Suitable"
373000,4271000,"CB4MH",3.28084,1000000,8.61,73.89,"373000 4271000",1,"Winter Gooses",3,3,"#1E90FF","Suitable"
373000,4272000,"CB4MH",3.28084,1000000,8.6,73.89,"373000 4272000",1,"Winter Gooses",3,3,"#1E90FF","Suitable"
373000,4307000,"CB4MH",0,1000000,7.51,73.06,"373000 4307000",0,"Thomas Pt Shoal",3,3,"#1E90FF","Suitable"
374000,4271000,"CB4MH",22.96588,1000000,1.04,74.81,"374000 4271000",7,"Winter Gooses",0,0,"#000000","Unsuitable"
374000,4272000,"CB4MH",22.96588,1000000,1.07,74.82,"374000 4272000",7,"Winter Gooses",0,0,"#000000","Unsuitable"
374000,4307000,"CB4MH",0,1000000,7.65,73.1,"374000 4307000",0,"Thomas Pt Shoal",3,3,"#1E90FF","Suitable"
375000,4307000,"CB4MH",1.64042,1000000,7.17,73.26,"375000 4307000",0.5,"Thomas Pt Shoal",3,3,"#1E90FF","Suitable"
375000,4311000,"CB4MH",0,1000000,6.76,73.17,"375000 4311000",0,"Tolly Pt Ground",3,3,"#1E90FF","Suitable"
376000,4268000,"CB4MH",19.68504,1000000,1.85,74.69,"376000 4268000",6,"Summer Gooses",0,0,"#000000","Unsuitable"
376000,4282000,"CB4MH",19.68504,1000000,1.32,74.95,"376000 4282000",6,"Devils Hole",0,0,"#000000","Unsuitable"
376000,4315000,"CB4MH",1.64042,1000000,6.01,73.16,"376000 4315000",0.5,"Hacketts Bar",3,3,"#1E90FF","Suitable"
377000,4267000,"CB4MH",22.96588,1000000,1.37,74.8,"377000 4267000",7,"Summer Gooses",0,0,"#000000","Unsuitable"
377000,4268000,"CB4MH",11.48294,1000000,7.45,73.96,"377000 4268000",3.5,"Summer Gooses",3,3,"#1E90FF","Suitable"
377000,4269000,"CB4MH",14.76378,1000000,6.31,74.16,"377000 4269000",4.5,"Summer Gooses",3,3,"#1E90FF","Suitable"
377000,4281000,"CB4MH",32.8084,1000000,0.51,74.99,"377000 4281000",10,"Devils Hole",0,0,"#000000","Unsuitable"
377000,4282000,"CB4MH",26.24672,1000000,0.59,74.98,"377000 4282000",8,"Devils Hole",0,0,"#000000","Unsuitable"
377000,4294000,"CB4MH",26.24672,1000000,1.28,74.94,"377000 4294000",8,"The Hill",0,0,"#000000","Unsuitable"
377000,4315000,"CB4MH",0,1000000,5.95,73.09,"377000 4315000",0,"Hacketts Bar",3,3,"#1E90FF","Suitable"
378000,4214000,"POTMH",1.64042,1000000,7.87,73.87,"378000 4214000",0.5,"Cornfield Harbor",3,3,"#1E90FF","Suitable"
378000,4215000,"POTMH",4.92126,1000000,7.82,73.86,"378000 4215000",1.5,"Cornfield Harbor",3,3,"#1E90FF","Suitable"
378000,4244000,"CB5MH_MD",4.92126,1000000,6.68,77.85,"378000 4244000",1.5,"Chinese Mud",3,3,"#1E90FF","Suitable"
378000,4245000,"CB5MH_MD",4.92126,1000000,6.86,77.4,"378000 4245000",1.5,"Chinese Mud",3,3,"#1E90FF","Suitable"
378000,4267000,"CB4MH",22.96588,1000000,1.62,74.8,"378000 4267000",7,"Summer Gooses",0,0,"#000000","Unsuitable"
378000,4268000,"CB4MH",14.76378,1000000,7.37,73.89,"378000 4268000",4.5,"Summer Gooses",3,3,"#1E90FF","Suitable"
378000,4269000,"CB4MH",1.64042,1000000,8.32,73.8,"378000 4269000",0.5,"Summer Gooses",3,3,"#1E90FF","Suitable"
378000,4274000,"CB4MH",1.64042,1000000,8.41,73.94,"378000 4274000",0.5,"Clay Banks",3,3,"#1E90FF","Suitable"
378000,4275000,"CB4MH",0,1000000,8.45,73.96,"378000 4275000",0,"Clay Banks",3,3,"#1E90FF","Suitable"
378000,4294000,"CB4MH",3.28084,1000000,7.92,73.74,"378000 4294000",1,"The Hill",3,3,"#1E90FF","Suitable"
378000,4327000,"CB3MH",3.28084,1000000,6.18,73.29,"378000 4327000",1,"Snake Reef",3,3,"#1E90FF","Suitable"
378000,4328000,"CB3MH",1.64042,1000000,6.78,73.41,"378000 4328000",0.5,"Snake Reef",3,3,"#1E90FF","Suitable"
378000,4335000,"CB3MH",6.56168,1000000,3.9,73.68,"378000 4335000",2,"Seven Foot Knoll",2,2,"#FFFE00","Tolerable"
379000,4213000,"POTMH",4.92126,1000000,7.91,73.88,"379000 4213000",1.5,"Cornfield Harbor",3,3,"#1E90FF","Suitable"
379000,4214000,"POTMH",4.92126,1000000,7.87,73.87,"379000 4214000",1.5,"Cornfield Harbor",3,3,"#1E90FF","Suitable"
379000,4243000,"CB5MH_MD",1.64042,1000000,6.92,77.6,"379000 4243000",0.5,"Chinese Mud",3,3,"#1E90FF","Suitable"
379000,4244000,"CB5MH_MD",9.84252,1000000,6.63,77.52,"379000 4244000",3,"Chinese Mud",3,3,"#1E90FF","Suitable"
379000,4245000,"CB5MH_MD",6.56168,1000000,6.98,77.03,"379000 4245000",2,"Chinese Mud",3,3,"#1E90FF","Suitable"
379000,4246000,"CB5MH_MD",1.64042,1000000,7.35,76.47,"379000 4246000",0.5,"Chinese Mud",3,3,"#1E90FF","Suitable"
379000,4268000,"CB4MH",27.88714,1000000,0.48,74.8,"379000 4268000",8.5,"Summer Gooses",0,0,"#000000","Unsuitable"
379000,4273000,"CB4MH",4.92126,1000000,8.32,73.91,"379000 4273000",1.5,"Clay Banks",3,3,"#1E90FF","Suitable"
379000,4274000,"CB4MH",1.64042,1000000,8.41,73.93,"379000 4274000",0.5,"Clay Banks",3,3,"#1E90FF","Suitable"
379000,4275000,"CB4MH",1.64042,1000000,8.43,73.95,"379000 4275000",0.5,"Clay Banks",3,3,"#1E90FF","Suitable"
379000,4279000,"CB4MH",6.56168,1000000,8.31,73.9,"379000 4279000",2,"Stone Rock",3,3,"#1E90FF","Suitable"
379000,4285000,"CB4MH",0,1000000,8.38,73.82,"379000 4285000",0,"The Hook",3,3,"#1E90FF","Suitable"
379000,4288000,"CB4MH",13.12336,1000000,7.12,74.08,"379000 4288000",4,"The Hook",3,3,"#1E90FF","Suitable"
379000,4296000,"CB4MH",18.04462,1000000,3.19,74.82,"379000 4296000",5.5,"Wild Ground",2,2,"#FFFE00","Tolerable"
379000,4297000,"CB4MH",11.48294,1000000,7.38,73.99,"379000 4297000",3.5,"Wild Ground",3,3,"#1E90FF","Suitable"
380000,4213000,"POTMH",3.28084,1000000,7.92,73.88,"380000 4213000",1,"Cornfield Harbor",3,3,"#1E90FF","Suitable"
380000,4242000,"CB5MH_MD",11.48294,1000000,6.59,77.4,"380000 4242000",3.5,"Chinese Mud",3,3,"#1E90FF","Suitable"
380000,4243000,"CB5MH_MD",11.48294,1000000,6.59,77.23,"380000 4243000",3.5,"Chinese Mud",3,3,"#1E90FF","Suitable"
380000,4244000,"CB5MH_MD",3.28084,1000000,7.19,76.72,"380000 4244000",1,"Chinese Mud",3,3,"#1E90FF","Suitable"
380000,4245000,"CB5MH_MD",9.84252,1000000,7,76.61,"380000 4245000",3,"Chinese Mud",3,3,"#1E90FF","Suitable"
380000,4246000,"CB5MH_MD",1.64042,1000000,7.51,76.06,"380000 4246000",0.5,"Chinese Mud",3,3,"#1E90FF","Suitable"
380000,4247000,"CB5MH_MD",1.64042,1000000,7.65,75.7,"380000 4247000",0.5,"Chinese Mud",3,3,"#1E90FF","Suitable"
380000,4248000,"CB5MH_MD",4.92126,1000000,7.71,75.36,"380000 4248000",1.5,"Chinese Mud",3,3,"#1E90FF","Suitable"
380000,4264000,"CB4MH",0,1000000,8.49,73.63,"380000 4264000",0,"James Is Stone Piles",3,3,"#1E90FF","Suitable"
380000,4265000,"CB4MH",0,1000000,8.45,73.67,"380000 4265000",0,"James Is Stone Piles",3,3,"#1E90FF","Suitable"
380000,4279000,"CB4MH",0,1000000,8.48,73.9,"380000 4279000",0,"Stone Rock",3,3,"#1E90FF","Suitable"
380000,4280000,"CB4MH",1.64042,1000000,8.43,73.9,"380000 4280000",0.5,"Stone Rock",3,3,"#1E90FF","Suitable"
380000,4296000,"CB4MH",18.04462,1000000,3.23,74.82,"380000 4296000",5.5,"Wild Ground",2,2,"#FFFE00","Tolerable"
380000,4297000,"CB4MH",27.88714,1000000,0.83,75,"380000 4297000",8.5,"Wild Ground",0,0,"#000000","Unsuitable"
380000,4299000,"CB4MH",0,1000000,8.21,73.83,"380000 4299000",0,"Bloody Pt Bar",3,3,"#1E90FF","Suitable"
380000,4300000,"CB4MH",1.64042,1000000,8.17,73.83,"380000 4300000",0.5,"Bloody Pt Bar",3,3,"#1E90FF","Suitable"
380000,4303000,"CB4MH",8.2021,1000000,7.57,73.86,"380000 4303000",2.5,"Gum Thickets",3,3,"#1E90FF","Suitable"
380000,4304000,"CB4MH",1.64042,1000000,7.99,73.8,"380000 4304000",0.5,"Gum Thickets",3,3,"#1E90FF","Suitable"
380000,4305000,"CB4MH",1.64042,1000000,7.95,73.8,"380000 4305000",0.5,"Gum Thickets",3,3,"#1E90FF","Suitable"
380000,4306000,"CB4MH",27.88714,1000000,1.06,74.9,"380000 4306000",8.5,"Gum Thickets",0,0,"#000000","Unsuitable"
380000,4327000,"CB3MH",13.12336,1000000,4.11,73.79,"380000 4327000",4,"Belvidere Shoal",3,3,"#1E90FF","Suitable"
380000,4328000,"CB3MH",4.92126,1000000,5.19,73.15,"380000 4328000",1.5,"Belvidere Shoal",3,3,"#1E90FF","Suitable"
380000,4329000,"CB3MH",1.64042,1000000,6.4,73.22,"380000 4329000",0.5,"Belvidere Shoal",3,3,"#1E90FF","Suitable"
380000,4330000,"CB3MH",4.92126,1000000,5.21,73.1,"380000 4330000",1.5,"Belvidere Shoal",3,3,"#1E90FF","Suitable"
381000,4212000,"POTMH",14.76378,1000000,7.57,74.7,"381000 4212000",4.5,"Cornfield Harbor",3,3,"#1E90FF","Suitable"
381000,4240000,"CB5MH_MD",14.76378,1000000,5.53,76.81,"381000 4240000",4.5,"Cedar Pt Rips",3,3,"#1E90FF","Suitable"
381000,4243000,"CB5MH_MD",3.28084,1000000,7.36,76.31,"381000 4243000",1,"Chinese Mud",3,3,"#1E90FF","Suitable"
381000,4244000,"CB5MH_MD",3.28084,1000000,7.42,76.15,"381000 4244000",1,"Chinese Mud",3,3,"#1E90FF","Suitable"
381000,4245000,"CB5MH_MD",16.4042,1000000,4.15,76.27,"381000 4245000",5,"Chinese Mud",3,3,"#1E90FF","Suitable"
381000,4246000,"CB5MH_MD",1.64042,1000000,7.66,75.69,"381000 4246000",0.5,"Chinese Mud",3,3,"#1E90FF","Suitable"
381000,4265000,"CB4MH",1.64042,1000000,8.36,73.58,"381000 4265000",0.5,"James Is Stone Piles",3,3,"#1E90FF","Suitable"
381000,4266000,"CB4MH",0,1000000,8.44,73.63,"381000 4266000",0,"James Is Stone Piles",3,3,"#1E90FF","Suitable"
381000,4297000,"CB4MH",22.96588,1000000,1.27,75,"381000 4297000",7,"Wild Ground",0,0,"#000000","Unsuitable"
381000,4311000,"CB4MH",0,1000000,5.91,72.95,"381000 4311000",0,"Brickhouse Bar",3,3,"#1E90FF","Suitable"
381000,4312000,"CB4MH",6.56168,1000000,5.2,73.04,"381000 4312000",2,"Brickhouse Bar",3,3,"#1E90FF","Suitable"
381000,4327000,"CB3MH",8.2021,1000000,5.3,72.84,"381000 4327000",2.5,"Belvidere Shoal",3,3,"#1E90FF","Suitable"
381000,4328000,"CB3MH",6.56168,1000000,4.7,73.08,"381000 4328000",2,"Belvidere Shoal",3,3,"#1E90FF","Suitable"
